post_id,sentiment,risk_level,extracted_location,full_location,latitude,longitude
1jnrtn0,Negative,High-Risk,greys,"Greys, Station Approach, Bexley, London Borough of Bexley, London, Greater London, England, DA5 1AQ, United Kingdom",51.4411936,0.14852094999999998
1j0q728,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jnvut3,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jrbv1y,Positive,High-Risk,canada,Canada,61.0666922,-107.991707
1jo65zs,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1it9vd9,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jns51l,Negative,High-Risk,canada,Canada,61.0666922,-107.991707
1bp78ia,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1bp78ia,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
13sum97,Negative,High-Risk,quebec,"Québec, Canada",52.4760892,-71.8258668
13sum97,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
13sum97,Negative,High-Risk,vancouver island,"Vancouver Island, British Columbia, Canada",49.592949450000006,-125.70255696124094
13sum97,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1j1ve0j,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1gtd8up,Negative,High-Risk,california,"California, United States",36.7014631,-118.755997
1iwo35o,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1f6cf3z,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1f6cf3z,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1f6cf3z,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1ao2jok,Positive,High-Risk,dr states,"States Drive, Parkside, Philadelphia, Philadelphia County, Pennsylvania, 19131, United States",39.98428122448969,-75.21757022491747
1bpgvni,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1bpgvni,Positive,High-Risk,mountains beach,"Beach Mountains, Culberson County, Texas, United States",31.1359647,-104.8585503
1bpgvni,Positive,High-Risk,florida,"Florida, United States",27.7567667,-81.4639835
1bpgvni,Positive,High-Risk,utah,"Utah, United States",39.4225192,-111.714358
1bpgvni,Positive,High-Risk,colorado,"Colorado, United States",38.7251776,-105.607716
1jdnpaw,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jdnpaw,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
poqbpn,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1box2x1,Negative,High-Risk,lad ireland,"Lad Lane, South Dock Ward 1986, Dublin, County Dublin, Leinster, D02 FN88, Éire / Ireland",53.33484343659066,-6.249669553133193
kl4ous,Negative,High-Risk,europe,Europe,51.0,10.0
kl4ous,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
17l69l9,Negative,High-Risk,villian,"Villian, La Chapelle-Vendômoise, Blois, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41330, France",47.6640369,1.2382266
13pvovb,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
13pvovb,Negative,High-Risk,america,United States,39.7837304,-100.445882
126oy5y,Negative,High-Risk,netherlands,Nederland,52.2434979,5.6343227
1b7cpzg,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
vbq9d5,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
orovjo,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
12tupz1,Positive,High-Risk,iowa,"Iowa, United States",41.9216734,-93.3122705
1jj0eqs,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1isr51q,Negative,High-Risk,m32,"広電廿日市, 廿日市停車場線, 駅前, 廿日市市, 広島県, 738-0003, 日本",34.3567286,132.3362624
1isr51q,Negative,High-Risk,oklahoma,"Oklahoma, United States",34.9550817,-97.2684063
1enqgyb,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jlk9ub,Negative,High-Risk,peru,Perú,-6.8699697,-75.0458515
1hm87gp,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,france,France,46.603354,1.8883335
g8eq07,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,ireland,Éire / Ireland,52.865196,-7.9794599
g8eq07,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
g8eq07,Positive,High-Risk,ireland,Éire / Ireland,52.865196,-7.9794599
1jdu9bt,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
n2k2of,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jpmij2,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1itrgut,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1hn957v,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jl1b3s,Negative,High-Risk,knowing,"Knowing, จอมเทียน 7, จอมเทียน, เมืองพัทยา, นาจอมเทียน, จังหวัดชลบุรี, 20260, ประเทศไทย",12.8973681,100.87208
1j0wujf,Negative,High-Risk,japan,日本,36.5748441,139.2394179
1j0wujf,Negative,High-Risk,japan,日本,36.5748441,139.2394179
1iaoovm,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1jmht26,Negative,High-Risk,lost,"Lost, Bellabeg, Aberdeenshire, Alba / Scotland, AB36 8UQ, United Kingdom",57.2053788,-3.0793008
1jr3ba4,Positive,High-Risk,imagine,"Imagine, Stary Widzew, Łódź-Widzew, Łódź, województwo łódzkie, Polska",51.7605749,19.486936634011112
e8gjky,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1hz7b3y,Negative,High-Risk,chromebook,"Chromebook/Textbook Office, Kingsbury Street, Granada Hills, Granada Hills South Neighborhood Council District, Los Angeles, Los Angeles County, California, 91325, United States",34.26219665,-118.52592354762281
1hz7b3y,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1c4ekm2,Negative,High-Risk,canada,Canada,61.0666922,-107.991707
15agf97,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1hoskm0,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
fxo2wm,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
fxo2wm,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1di3f7s,Negative,High-Risk,scariest,"Buenas noches (Los bosques embrujados más aterradores del mundo. Fantome: fantasma) (Mombe'ugua'u), Distrito de Escobar, Paraguarí, Región Oriental, Paraguay / Paraguái",-25.6097257,-57.06929505055248
1irymt7,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1di3f7s,Negative,High-Risk,scariest,"Buenas noches (Los bosques embrujados más aterradores del mundo. Fantome: fantasma) (Mombe'ugua'u), Distrito de Escobar, Paraguarí, Región Oriental, Paraguay / Paraguái",-25.6097257,-57.06929505055248
1irymt7,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1bbzf1e,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1dlnai3,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1i9hzlt,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1irymt7,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
173mkx8,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
14mposi,Negative,High-Risk,plain,"Plain, Sauk County, Wisconsin, United States",43.2788776,-90.0437354
14mposi,Negative,High-Risk,truly,"Truly, Cascade County, Montana, United States",47.3557881,-111.4413577
1jcjvc5,Negative,High-Risk,japan,日本,36.5748441,139.2394179
1jcjvc5,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
141hfw0,Positive,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
1c3bis5,Negative,High-Risk,ill,"Illinois, United States",40.0796606,-89.4337288
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
16thenk,Positive,High-Risk,dpdr,"Masjid DPDR Kantor DPRD Barru, Jalan Bau Massepe, Barru, Sulawesi Selatan, Sulawesi, 90712, Indonesia",-4.41564885,119.61664226567646
